i,name,distance,elevation
001,InlawsSonntagsgravel:TourDividelol,41,663
002,"InlawsGravel09_03_Sieg,AggerWald,WahnerHeide,RotterSee",44,235
003,InlawsGravel23_02_,37,386
004,InlawsGravel19_01_,39,206
005,InlawsGravel11_01_2025,34,248
006,InlawsGravel3_Advent,34,401
007,InlawsGravel08_09_,39,346
008,InlawsGravel7g+Sieg,35,267
009,InlawsGravel25_08_,33,361
010,InlawsGravel04_08_,42,191
011,InlawsGravilla28_08_,36,324
012,InlawsGravel14_07_,31,72
013,InlawsGravel06_07_,34,291
014,InlawsGravel30_06_,33,371
015,InlawsGravel26_05_?,37,373
016,InlawsGravel13_05_,35,311
017,InlawsGravel05_05_,34,356
018,InlawsGravel21_02_?,42,428
019,10_12_GravelInlaws,51,371
020,InlawsSonntagsgravel:TourDividelol,41,663
021,InlawsSonntagsgravel16_3_25,30,327
022,16_03_25InlawsKoffiehell,30,202
023,"InlawsGravel09_03_Sieg,AggerWald,WahnerHeide,RotterSee",44,235
024,Inlawsgravel26_1_25,36,218
025,InlawsGravel19_01_25,39,206
026,InlawsGravel11_01_2025,34,248
027,InlawsGravel3_Advent,34,401
028,InlawsGravel25_08_(Oneforthebooks),33,361
029,InlawsGravel04_08_,42,191
030,InlawsGravel28_08_,36,324
031,InlawsGravel30_06_,33,371
032,InlawsGravel26_05_?,37,373
033,Inlawsgravel19_5_BorkeshofPaßmann,39,209
034,InlawsGravel05_05_,34,356
035,10_12_GravelInlaws,51,371
036,StanniInlawsgravelreverso,52,304
037,InlawsSonntagsrundeKottenforst-technical-(Dnns),31,357
038,InlawsSonntagsgravelKottenforst-Waldville-Bonn(Dnns),47,298
